Название,ID,Тип_алкоголя,Категория,Изображение,Бокал,Ингредиент1,Ингредиент2,Ингредиент3,Ингредиент4,Ингредиент5,Инструкция,Мера1,Мера2
Microwave Hot Cocoa,12744,Безалкогольный,Какао,http://www.thecocktaildb.com/images/media/drink/8y4x5f1487603151.jpg,Кофейная кружка,Sugar,Cocoa powder,Salt,Water,Milk,"Смешайте сахар, какао, соль и горячую воду в 1-квартовой микро-защитной измерительной чашке (или кофейной кружке). Микроволновая печь с высоким (100%) в течение 1-1 1/2 минуты или до кипения. Добавьте молоко, SITR и микроволновую печь Additonal от 1 1/2 до 2 минут или до горячих. Добавьте ваниль, хорошо смешайте.",5 столовая ложка ,3 столовая ложка 
Midnight Cowboy,11766,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/vsxxwy1441208133.jpg,Коктейльный бокал,Bourbon,Dark rum,Heavy cream,0,0,"В шейкере, наполовину заполненном кубиками льда, объедините все ингредиенты. Встряхнуть хорошо. Процедить в коктейльный стакан.",2 унция ,1 унция 
Midnight Manx,13825,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/uqqurp1441208231.jpg,Олд-фэшн,Kahlua,Bailey's irish cream,Goldschlager,Heavy cream,Coffee,"Заполните микшер льдом и добавьте Baileys, Kahlua, Goldshlager и Cream. Встряхните в течение 5 секунд и напрягайтесь в стеклянном стекле с двойными камнями, наполненным льдом. Добавьте охлажденный кофе и наслаждайтесь!",1 унция ,1 унция 
Midnight Mint,14842,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/svuvrq1441208310.jpg,Коктейльный бокал,Bailey's irish cream,White Creme de Menthe,Cream,0,0,"Если таковые в наличии, стекло коктейля Rim (мартини) с сахарным сиропом, затем погрузитесь в шоколадные хлопья или порошок. Добавьте ингредиенты в шейкер со льдом. Встряхните хорошо, затем напрягайтесь в коктейль -стакане.",1 унция ,3/4 унция 
Mimosa,17205,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/juhcuu1504370685.jpg,Флюте,Champagne,Orange juice,0,0,0,"Убедитесь, что оба ингредиента хорошо охлаждены, затем перемешайте в стекло. Подавать холод.",Chilled ,2 унция 
Mississippi Planters Punch,11786,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/urpyqs1439907531.jpg,Коллинз,Brandy,Light rum,Bourbon,Lemon,Powdered sugar,"Встряхните все ингредиенты (кроме газированной воды) со льдом и напрягайтесь в стакан коллинза над кубиками льда. Заполните газированной водой, перемешайте и подайте.",1 унция ,1/2 унция 
Mocha-Berry,14209,Алкогольный,Кофе/Чай,http://www.thecocktaildb.com/images/media/drink/vtwyyx1441246448.jpg,Кружка для айриш кофе,Coffee,Chambord raspberry liqueur,Cocoa powder,Whipped cream,0,"залить 6 унций. кофе в кружек или ирландской кофейной чашке. Добавьте кокускую смесь и шахту, хорошо перемешайте и наполните взбитые сливки.",6 унция ,2 унция 
Mojito,13427,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/rxtqps1478251029.jpg,Хайбол,Light rum,Lime,Sugar,Mint,Soda water,Измельчите листья мяты с сахаром и соком лайма. Добавьте всплеск содовой воды и наполните стакан треснутым льдом. Вылейте ром и сверху в содовую воду. Украсить и подавать с соломой.,2-3 унция ,Juice of 1 
Mojito #3,15841,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/vwxrsw1478251483.jpg,Коллинз,Mint,Lemon juice,Dark rum,Club soda,Angostura bitters,"Положите мяту с лимонным соком в GLA, разбить мяту с ложкой, льдом, ромом и наполните клубную газировку. Завершите его ангостурой.",1/2 handful ,3 сантилитр 
Monkey Gland,17189,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/94psp81504350690.jpg,Коктейльный бокал,Gin,Benedictine,Orange juice,Grenadine,0,"Встряхните кубиками льда в шейкере, напрягайтесь в охлажденном коктейльном бокале.",2 унция ,1 чайная ложка 
Monkey Wrench,11798,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/8it05n1504353314.jpg,Олд-фэшн,Light rum,Grapefruit juice,Bitters,0,0,"Вылейте все ингредиенты в старомодный стакан, почти наполненный кубиками льда. Хорошо перемешать.",1 1/2 унция ,3 унция 
Moranguito,16196,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/urpsyq1475667335.jpg,Шот,Absinthe,Tequila,Grenadine,0,0,"Сначала вы поставите Absinte, затем положите текилу, затем положите сироп гранадина.",2/5 ,2/5 
Moscow Mule,13254,Алкогольный,Пунш,http://www.thecocktaildb.com/images/media/drink/3pylqc1504370988.jpg,Медная кружка,Vodka,Lime juice,Ginger ale,0,0,"Смешайте водку и имбирное пиво в бокале с высоким мячом, наполненным льдом. Добавить сок лайма. Нежно перемешать. Гарнир.",2 унция ,2 унция 
